item_id,item_tested,item_category_id,cluster_code,item_category3,item_category3_enc,item_category4,item_category4_enc
82,False,37,1686,Movies,7,Movies,3
83,True,40,1686,Movies,7,Movies,3
84,False,40,1644,Movies,7,Movies,3
85,False,37,1463,Movies,7,Movies,3
86,False,40,1644,Movies,7,Movies,3
87,False,37,4400,Movies,7,Movies,3
88,True,40,4400,Movies,7,Movies,3
89,False,40,367,Movies,7,Movies,3
90,False,40,2385,Movies,7,Movies,3
91,True,37,2385,Movies,7,Movies,3
92,False,37,2385,Movies,7,Movies,3
93,True,43,926,Books,1,Books,1
94,False,40,925,Movies,7,Movies,3
95,False,40,1949,Movies,7,Movies,3
96,False,40,1949,Movies,7,Movies,3
97,False,40,945,Movies,7,Movies,3
98,False,40,945,Movies,7,Movies,3
99,False,37,945,Movies,7,Movies,3
100,False,40,945,Movies,7,Movies,3
101,False,78,1269,Software,10,PC,5
102,False,76,2388,Software,10,PC,5
103,False,76,2388,Software,10,PC,5
104,False,76,2388,Software,10,PC,5
105,False,30,1193,Games,4,PC,5
106,False,30,2449,Games,4,PC,5
107,False,44,923,Books,1,Books,1
108,False,44,923,Books,1,Books,1
109,True,57,489,Music,8,Music,4
110,False,44,489,Books,1,Books,1
111,False,57,57,Music,8,Music,4
112,False,44,489,Books,1,Books,1
113,False,57,897,Music,8,Music,4
114,False,44,897,Books,1,Books,1
115,False,57,923,Music,8,Music,4
116,False,57,5225,Music,8,Music,4
117,False,44,5225,Books,1,Books,1
118,False,44,44,Books,1,Books,1
119,False,44,1777,Books,1,Books,1
120,False,44,44,Books,1,Books,1
121,False,44,44,Books,1,Books,1
122,False,44,256,Books,1,Books,1
123,False,44,306,Books,1,Books,1
124,False,44,1453,Books,1,Books,1
125,False,44,44,Books,1,Books,1
126,False,44,1855,Books,1,Books,1
127,False,44,2402,Books,1,Books,1
128,False,44,44,Books,1,Books,1
129,False,44,44,Books,1,Books,1
130,False,44,2663,Books,1,Books,1
131,False,44,2798,Books,1,Books,1
132,False,44,3442,Books,1,Books,1
133,False,45,926,Books,1,Books,1
134,False,45,2282,Books,1,Books,1
135,False,45,1179,Books,1,Books,1
136,False,45,534,Books,1,Books,1
137,False,44,1179,Books,1,Books,1
138,True,45,256,Books,1,Books,1
139,False,45,256,Books,1,Books,1
140,True,45,11654,Books,1,Books,1
141,False,44,11654,Books,1,Books,1
142,False,45,256,Books,1,Books,1
143,False,45,489,Books,1,Books,1
144,False,44,489,Books,1,Books,1
145,False,44,44,Books,1,Books,1
146,False,44,2636,Books,1,Books,1
147,False,44,884,Books,1,Books,1
148,False,44,1179,Books,1,Books,1
149,True,45,884,Books,1,Books,1
150,False,44,884,Books,1,Books,1
151,False,45,744,Books,1,Books,1
152,False,45,884,Books,1,Books,1
153,True,45,884,Books,1,Books,1
154,True,45,1855,Books,1,Books,1
155,False,45,2402,Books,1,Books,1
156,False,45,884,Books,1,Books,1
157,False,44,2636,Books,1,Books,1
158,False,44,2636,Books,1,Books,1
159,False,44,2636,Books,1,Books,1
160,False,44,2636,Books,1,Books,1
161,False,44,884,Books,1,Books,1
162,False,45,552,Books,1,Books,1
163,False,44,306,Books,1,Books,1
164,False,44,3442,Books,1,Books,1
165,False,45,489,Books,1,Books,1
166,True,45,489,Books,1,Books,1
167,False,44,44,Books,1,Books,1
168,True,44,1073,Books,1,Books,1
169,False,44,1698,Books,1,Books,1
170,False,45,992,Books,1,Books,1
171,False,45,1807,Books,1,Books,1
172,False,45,45,Books,1,Books,1
173,True,45,3018,Books,1,Books,1
174,False,44,691,Books,1,Books,1
175,False,45,884,Books,1,Books,1
176,False,45,3876,Books,1,Books,1
177,False,45,2467,Books,1,Books,1
178,False,45,2265,Books,1,Books,1
179,False,45,489,Books,1,Books,1
180,True,44,1086,Books,1,Books,1
181,False,44,1570,Books,1,Books,1
182,False,44,911,Books,1,Books,1
183,False,44,2253,Books,1,Books,1
184,False,44,884,Books,1,Books,1
185,False,44,44,Books,1,Books,1
186,False,44,453,Books,1,Books,1
187,False,44,44,Books,1,Books,1
188,False,44,44,Books,1,Books,1
189,False,44,44,Books,1,Books,1
190,False,44,489,Books,1,Books,1
191,False,44,884,Books,1,Books,1
192,False,44,911,Books,1,Books,1
193,False,44,44,Books,1,Books,1
194,False,44,44,Books,1,Books,1
195,False,44,44,Books,1,Books,1
196,False,44,512,Books,1,Books,1
197,False,45,992,Books,1,Books,1
198,False,45,5246,Books,1,Books,1
199,False,45,884,Books,1,Books,1
200,False,45,448,Books,1,Books,1
201,False,44,2450,Books,1,Books,1
202,True,45,1303,Books,1,Books,1
203,False,44,5144,Books,1,Books,1
204,True,44,664,Books,1,Books,1
205,True,45,926,Books,1,Books,1
206,False,44,965,Books,1,Books,1
207,False,45,1453,Books,1,Books,1
208,False,44,44,Books,1,Books,1
209,False,44,884,Books,1,Books,1
210,False,45,4049,Books,1,Books,1
211,False,44,1807,Books,1,Books,1
212,False,44,1807,Books,1,Books,1
213,True,45,1807,Books,1,Books,1
214,False,44,44,Books,1,Books,1
215,False,45,256,Books,1,Books,1
216,False,44,1027,Books,1,Books,1
217,False,44,44,Books,1,Books,1
218,False,45,489,Books,1,Books,1
219,False,45,541,Books,1,Books,1
220,False,44,44,Books,1,Books,1
221,False,44,2073,Books,1,Books,1
222,False,44,2706,Books,1,Books,1
223,False,44,306,Books,1,Books,1
224,False,45,1078,Books,1,Books,1
225,False,45,2952,Books,1,Books,1
226,True,45,992,Books,1,Books,1
227,False,44,992,Books,1,Books,1
228,False,45,926,Books,1,Books,1
229,False,44,1345,Books,1,Books,1
230,False,45,2952,Books,1,Books,1
231,False,44,2952,Books,1,Books,1
232,False,45,2504,Books,1,Books,1
233,False,45,3073,Books,1,Books,1
234,True,45,256,Books,1,Books,1
235,False,45,845,Books,1,Books,1
236,False,45,256,Books,1,Books,1
237,True,45,926,Books,1,Books,1
238,False,45,256,Books,1,Books,1
239,False,44,306,Books,1,Books,1
240,False,44,697,Books,1,Books,1
241,False,44,697,Books,1,Books,1
242,False,44,44,Books,1,Books,1
243,False,45,256,Books,1,Books,1
244,False,45,2535,Books,1,Books,1
245,False,44,2730,Books,1,Books,1
246,False,45,1807,Books,1,Books,1
247,False,45,767,Books,1,Books,1
248,True,45,2282,Books,1,Books,1
249,True,45,2282,Books,1,Books,1
250,False,44,951,Books,1,Books,1
251,False,44,3442,Books,1,Books,1
252,False,45,884,Books,1,Books,1
253,True,45,108,Books,1,Books,1
254,True,44,306,Books,1,Books,1
255,False,44,489,Books,1,Books,1
256,False,44,2280,Books,1,Books,1
257,False,45,256,Books,1,Books,1
258,False,45,256,Books,1,Books,1
259,True,45,256,Books,1,Books,1
260,False,44,1615,Books,1,Books,1
261,False,44,3587,Books,1,Books,1
262,False,44,3587,Books,1,Books,1
263,False,45,448,Books,1,Books,1
264,False,45,256,Books,1,Books,1
265,False,45,3442,Books,1,Books,1
266,False,44,3442,Books,1,Books,1
267,False,45,5060,Books,1,Books,1
268,False,44,5060,Books,1,Books,1
269,True,45,926,Books,1,Books,1
270,False,45,884,Books,1,Books,1
271,False,44,884,Books,1,Books,1
272,False,45,315,Books,1,Books,1
273,False,45,11485,Books,1,Books,1
274,False,44,11485,Books,1,Books,1
275,False,44,1179,Books,1,Books,1
276,False,45,926,Books,1,Books,1
277,False,45,512,Books,1,Books,1
278,False,45,45,Books,1,Books,1
279,False,44,1009,Books,1,Books,1
280,False,45,45,Books,1,Books,1
281,False,45,108,Books,1,Books,1
282,False,45,108,Books,1,Books,1
283,False,45,884,Books,1,Books,1
284,False,45,884,Books,1,Books,1
285,False,45,884,Books,1,Books,1
286,False,44,44,Books,1,Books,1
287,False,44,926,Books,1,Books,1
288,False,44,306,Books,1,Books,1
289,False,44,1221,Books,1,Books,1
290,False,45,1221,Books,1,Books,1
291,False,44,8553,Books,1,Books,1
292,False,45,8553,Books,1,Books,1
293,False,45,108,Books,1,Books,1
294,False,45,108,Books,1,Books,1
295,False,45,108,Books,1,Books,1
296,False,44,14649,Books,1,Books,1
297,False,45,14649,Books,1,Books,1
298,False,45,108,Books,1,Books,1
299,False,44,2920,Books,1,Books,1
300,False,44,555,Books,1,Books,1
301,False,44,3461,Books,1,Books,1
302,True,45,1179,Books,1,Books,1
303,False,45,108,Books,1,Books,1
304,False,44,926,Books,1,Books,1
305,False,44,2636,Books,1,Books,1
306,False,45,2636,Books,1,Books,1
307,False,44,926,Books,1,Books,1
308,True,45,1949,Books,1,Books,1
309,False,44,1410,Books,1,Books,1
310,False,45,108,Books,1,Books,1
311,False,45,108,Books,1,Books,1
312,False,45,2770,Books,1,Books,1
313,True,45,2770,Books,1,Books,1
314,False,45,2770,Books,1,Books,1
315,True,45,15757,Books,1,Books,1
316,False,45,256,Books,1,Books,1
317,False,45,256,Books,1,Books,1
318,False,45,256,Books,1,Books,1
319,False,45,256,Books,1,Books,1
320,False,45,256,Books,1,Books,1
321,False,45,256,Books,1,Books,1
322,False,45,2467,Books,1,Books,1
323,False,44,2467,Books,1,Books,1
324,False,45,256,Books,1,Books,1
325,True,45,926,Books,1,Books,1
326,False,45,1221,Books,1,Books,1
327,False,44,44,Books,1,Books,1
328,False,45,108,Books,1,Books,1
329,False,45,45,Books,1,Books,1
330,False,44,4164,Books,1,Books,1
331,False,45,4164,Books,1,Books,1
332,False,44,951,Books,1,Books,1
333,False,45,534,Books,1,Books,1
334,False,44,884,Books,1,Books,1
335,False,45,108,Books,1,Books,1
336,False,44,44,Books,1,Books,1
337,False,44,44,Books,1,Books,1
338,False,44,44,Books,1,Books,1
339,False,44,1807,Books,1,Books,1
340,False,44,44,Books,1,Books,1
341,False,44,802,Books,1,Books,1
342,True,44,44,Books,1,Books,1
343,False,44,44,Books,1,Books,1
344,False,44,44,Books,1,Books,1
345,False,44,44,Books,1,Books,1
346,False,44,44,Books,1,Books,1
347,False,44,44,Books,1,Books,1
348,False,44,959,Books,1,Books,1
349,False,44,926,Books,1,Books,1
350,False,44,44,Books,1,Books,1
351,False,45,926,Books,1,Books,1
352,False,44,44,Books,1,Books,1
353,True,45,1705,Books,1,Books,1
354,False,45,884,Books,1,Books,1
355,False,44,44,Books,1,Books,1
356,True,45,534,Books,1,Books,1
357,False,45,256,Books,1,Books,1
358,False,44,5030,Books,1,Books,1
359,False,44,5030,Books,1,Books,1
360,False,44,5030,Books,1,Books,1
361,False,44,5030,Books,1,Books,1
362,False,44,44,Books,1,Books,1
363,False,45,1221,Books,1,Books,1
364,False,44,1221,Books,1,Books,1
365,False,45,1858,Books,1,Books,1
366,False,45,256,Books,1,Books,1
367,False,45,850,Books,1,Books,1
368,False,45,926,Books,1,Books,1
369,False,45,926,Books,1,Books,1
370,False,45,926,Books,1,Books,1
371,False,45,256,Books,1,Books,1
372,False,45,926,Books,1,Books,1
373,False,45,1894,Books,1,Books,1
374,False,44,44,Books,1,Books,1
375,False,45,108,Books,1,Books,1
376,False,45,926,Books,1,Books,1
377,False,45,45,Books,1,Books,1
378,False,45,1686,Books,1,Books,1
379,False,44,468,Books,1,Books,1
380,False,45,45,Books,1,Books,1
381,False,44,44,Books,1,Books,1
382,False,45,926,Books,1,Books,1
383,False,44,454,Books,1,Books,1
384,False,45,15757,Books,1,Books,1
385,False,45,2770,Books,1,Books,1
386,False,45,2770,Books,1,Books,1
387,False,45,435,Books,1,Books,1
388,True,45,108,Books,1,Books,1
389,False,45,2557,Books,1,Books,1
390,False,45,884,Books,1,Books,1
391,False,45,1773,Books,1,Books,1
392,False,45,256,Books,1,Books,1
393,False,45,14686,Books,1,Books,1
394,False,44,14686,Books,1,Books,1
395,False,44,697,Books,1,Books,1
396,False,44,44,Books,1,Books,1
397,False,45,1073,Books,1,Books,1
398,False,45,1303,Books,1,Books,1
399,False,45,1303,Books,1,Books,1
400,False,44,926,Books,1,Books,1
401,False,45,108,Books,1,Books,1
402,True,44,926,Books,1,Books,1
403,False,44,2559,Books,1,Books,1
404,False,44,15143,Books,1,Books,1
405,False,45,108,Books,1,Books,1
406,False,45,534,Books,1,Books,1
407,True,45,884,Books,1,Books,1
408,True,45,256,Books,1,Books,1
409,False,45,108,Books,1,Books,1
410,False,45,489,Books,1,Books,1
411,False,45,3638,Books,1,Books,1
412,False,44,3638,Books,1,Books,1
413,True,45,992,Books,1,Books,1
414,False,45,108,Books,1,Books,1
415,False,44,44,Books,1,Books,1
416,False,44,884,Books,1,Books,1
417,False,45,256,Books,1,Books,1
418,False,45,108,Books,1,Books,1
419,False,45,926,Books,1,Books,1
420,False,44,44,Books,1,Books,1
421,True,45,2835,Books,1,Books,1
422,False,44,2835,Books,1,Books,1
423,False,45,256,Books,1,Books,1
424,False,45,2280,Books,1,Books,1
425,False,45,256,Books,1,Books,1
426,False,45,333,Books,1,Books,1
427,False,45,108,Books,1,Books,1
428,True,45,489,Books,1,Books,1
429,False,45,926,Books,1,Books,1
430,True,45,926,Books,1,Books,1
431,False,45,926,Books,1,Books,1
432,False,45,926,Books,1,Books,1
433,False,45,926,Books,1,Books,1
434,False,44,926,Books,1,Books,1
435,False,45,2065,Books,1,Books,1
436,False,45,15054,Books,1,Books,1
437,False,44,15054,Books,1,Books,1
438,False,45,256,Books,1,Books,1
439,False,45,799,Books,1,Books,1
440,False,45,256,Books,1,Books,1
441,False,45,256,Books,1,Books,1
442,False,45,108,Books,1,Books,1
443,False,45,884,Books,1,Books,1
444,False,45,884,Books,1,Books,1
445,True,45,468,Books,1,Books,1
446,False,44,2066,Books,1,Books,1
447,False,44,44,Books,1,Books,1
448,True,45,256,Books,1,Books,1
449,False,45,256,Books,1,Books,1
450,False,45,884,Books,1,Books,1
451,False,45,108,Books,1,Books,1
452,False,44,926,Books,1,Books,1
453,False,45,534,Books,1,Books,1
454,True,45,534,Books,1,Books,1
455,False,44,44,Books,1,Books,1
456,False,45,926,Books,1,Books,1
457,False,45,926,Books,1,Books,1
458,False,45,2280,Books,1,Books,1
459,False,45,256,Books,1,Books,1
460,False,45,697,Books,1,Books,1
461,False,45,697,Books,1,Books,1
462,False,45,1303,Books,1,Books,1
463,False,44,44,Books,1,Books,1
464,True,49,1551,Books,1,Books,1
465,False,77,2388,Software,10,PC,5
466,False,77,2388,Software,10,PC,5
467,False,77,2388,Software,10,PC,5
468,False,77,77,Software,10,PC,5
469,False,77,77,Software,10,PC,5
470,False,78,1082,Software,10,PC,5
471,False,49,2920,Books,1,Books,1
472,False,49,2920,Books,1,Books,1
473,True,49,2920,Books,1,Books,1
474,True,49,2450,Books,1,Books,1
475,False,73,23882,Software,10,PC,5
476,False,73,23882,Software,10,PC,5
477,True,73,1458,Software,10,PC,5
478,True,73,1458,Software,10,PC,5
479,False,49,2920,Books,1,Books,1
480,True,54,2920,Books,1,PC,5
481,False,49,2920,Books,1,Books,1
482,True,73,1458,Software,10,PC,5
483,False,73,1458,Software,10,PC,5
484,False,73,1458,Software,10,PC,5
485,False,73,1458,Software,10,PC,5
486,True,73,1458,Software,10,PC,5
487,False,77,14717,Software,10,PC,5
488,False,78,14717,Software,10,PC,5
489,False,77,5981,Software,10,PC,5
490,False,78,5981,Software,10,PC,5
491,True,73,1458,Software,10,PC,5
492,True,76,2920,Software,10,PC,5
493,False,54,884,Books,1,PC,5
494,True,49,1551,Books,1,Books,1
495,False,76,2388,Software,10,PC,5
496,True,73,8664,Software,10,PC,5
497,False,54,2920,Books,1,PC,5
498,False,49,1551,Books,1,Books,1
499,False,30,3027,Games,4,PC,5
500,False,30,1819,Games,4,PC,5
501,False,31,2920,Games,4,PC,5
502,True,31,3027,Games,4,PC,5
503,True,31,3027,Games,4,PC,5
504,True,31,3027,Games,4,PC,5
505,True,31,3027,Games,4,PC,5
506,False,31,3027,Games,4,PC,5
507,False,31,31,Games,4,PC,5
508,True,31,303,Games,4,PC,5
509,False,31,4281,Games,4,PC,5
510,False,30,3176,Games,4,PC,5
511,False,31,2075,Games,4,PC,5
512,False,31,1697,Games,4,PC,5
513,False,31,976,Games,4,PC,5
514,False,31,1128,Games,4,PC,5
515,True,31,31,Games,4,PC,5
516,False,31,3786,Games,4,PC,5
517,False,31,951,Games,4,PC,5
518,False,31,1140,Games,4,PC,5
519,False,31,31,Games,4,PC,5
520,False,31,468,Games,4,PC,5
521,True,31,1128,Games,4,PC,5
522,False,31,1721,Games,4,PC,5
523,False,78,1269,Software,10,PC,5
524,True,78,2450,Software,10,PC,5
525,False,78,1484,Software,10,PC,5
526,False,78,78,Software,10,PC,5
527,False,77,1728,Software,10,PC,5
528,True,78,1728,Software,10,PC,5
529,False,77,2169,Software,10,PC,5
530,False,77,1458,Software,10,PC,5
531,False,77,1728,Software,10,PC,5
532,False,77,1728,Software,10,PC,5
533,False,77,1728,Software,10,PC,5
534,False,77,77,Software,10,PC,5
535,False,73,1458,Software,10,PC,5
536,True,76,1073,Software,10,PC,5
537,False,78,884,Software,10,PC,5
538,False,78,2663,Software,10,PC,5
539,True,78,6669,Software,10,PC,5
540,False,78,959,Software,10,PC,5
541,False,77,171,Software,10,PC,5
542,False,77,744,Software,10,PC,5
543,False,77,744,Software,10,PC,5
544,True,77,744,Software,10,PC,5
545,False,77,744,Software,10,PC,5
546,False,77,744,Software,10,PC,5
547,True,77,744,Software,10,PC,5
548,False,77,171,Software,10,PC,5
549,False,77,171,Software,10,PC,5
550,False,77,171,Software,10,PC,5
551,False,77,171,Software,10,PC,5
552,False,77,171,Software,10,PC,5
553,False,77,744,Software,10,PC,5
554,False,77,744,Software,10,PC,5
555,False,77,744,Software,10,PC,5
556,False,77,171,Software,10,PC,5
557,False,77,3746,Software,10,PC,5
558,False,77,1484,Software,10,PC,5
559,False,77,1698,Software,10,PC,5
560,True,77,744,Software,10,PC,5
561,False,77,744,Software,10,PC,5
562,True,77,9942,Software,10,PC,5
563,True,78,9942,Software,10,PC,5
564,False,78,3168,Software,10,PC,5
565,False,77,744,Software,10,PC,5
566,True,77,884,Software,10,PC,5
567,False,78,2280,Software,10,PC,5
568,True,78,985,Software,10,PC,5
569,False,78,1116,Software,10,PC,5
570,False,77,7727,Software,10,PC,5
571,True,77,3746,Software,10,PC,5
572,False,78,3746,Software,10,PC,5
573,False,77,3746,Software,10,PC,5
574,False,78,3746,Software,10,PC,5
575,False,78,3746,Software,10,PC,5
576,False,78,3168,Software,10,PC,5
577,False,78,3168,Software,10,PC,5
578,True,78,3168,Software,10,PC,5
579,False,78,2362,Software,10,PC,5
580,False,77,411,Software,10,PC,5
581,False,78,411,Software,10,PC,5
582,False,77,411,Software,10,PC,5
583,True,78,411,Software,10,PC,5
584,False,77,2337,Software,10,PC,5
585,True,78,2337,Software,10,PC,5
586,False,77,11857,Software,10,PC,5
587,False,78,3027,Software,10,PC,5
588,False,77,2202,Software,10,PC,5
589,False,78,2202,Software,10,PC,5
590,False,77,1862,Software,10,PC,5
591,False,77,2663,Software,10,PC,5
592,True,78,2663,Software,10,PC,5
593,False,77,11557,Software,10,PC,5
594,False,77,11557,Software,10,PC,5
595,False,77,3919,Software,10,PC,5
596,False,77,1728,Software,10,PC,5
597,False,77,823,Software,10,PC,5
598,False,78,674,Software,10,PC,5
599,False,77,823,Software,10,PC,5
600,False,78,2253,Software,10,PC,5
601,False,77,951,Software,10,PC,5
602,False,78,951,Software,10,PC,5
603,False,77,2337,Software,10,PC,5
604,False,77,959,Software,10,PC,5
605,False,77,959,Software,10,PC,5
606,False,77,1728,Software,10,PC,5
607,False,77,77,Software,10,PC,5
608,False,77,744,Software,10,PC,5
609,False,77,823,Software,10,PC,5
610,False,77,28335,Software,10,PC,5
611,False,78,28335,Software,10,PC,5
612,False,78,959,Software,10,PC,5
613,False,77,1698,Software,10,PC,5
614,False,77,1698,Software,10,PC,5
615,False,77,1698,Software,10,PC,5
616,True,78,2337,Software,10,PC,5
617,False,77,11857,Software,10,PC,5
618,False,78,11857,Software,10,PC,5
619,False,78,2202,Software,10,PC,5
620,False,78,1862,Software,10,PC,5
621,False,77,2663,Software,10,PC,5
622,False,78,2663,Software,10,PC,5
623,False,78,1073,Software,10,PC,5
624,False,78,6669,Software,10,PC,5
625,False,77,2337,Software,10,PC,5
626,False,77,34420,Software,10,PC,5
627,False,78,34420,Software,10,PC,5
628,False,77,34419,Software,10,PC,5
629,False,78,34419,Software,10,PC,5
630,False,78,1862,Software,10,PC,5
631,False,77,6669,Software,10,PC,5
632,False,78,6669,Software,10,PC,5
633,False,78,1073,Software,10,PC,5
634,False,77,1698,Software,10,PC,5
635,False,77,1698,Software,10,PC,5
636,False,77,2561,Software,10,PC,5
637,False,77,744,Software,10,PC,5
638,True,77,744,Software,10,PC,5
639,True,77,1698,Software,10,PC,5
640,True,77,3746,Software,10,PC,5
641,False,78,2202,Software,10,PC,5
642,False,77,22984,Software,10,PC,5
643,False,78,22984,Software,10,PC,5
644,False,78,1345,Software,10,PC,5
645,False,77,1019,Software,10,PC,5
646,False,77,884,Software,10,PC,5
647,False,77,744,Software,10,PC,5
648,False,77,14718,Software,10,PC,5
649,True,78,14718,Software,10,PC,5
650,True,78,959,Software,10,PC,5
651,False,77,18583,Software,10,PC,5
652,True,78,18583,Software,10,PC,5
653,True,78,744,Software,10,PC,5
654,False,77,11345,Software,10,PC,5
655,True,78,11345,Software,10,PC,5
656,True,78,959,Software,10,PC,5
657,False,77,3982,Software,10,PC,5
658,False,78,3982,Software,10,PC,5
659,False,77,2984,Software,10,PC,5
660,False,77,2984,Software,10,PC,5
661,False,78,959,Software,10,PC,5
662,False,77,959,Software,10,PC,5
663,True,78,959,Software,10,PC,5
664,False,78,1862,Software,10,PC,5
665,False,77,1698,Software,10,PC,5
666,False,78,959,Software,10,PC,5
667,False,78,951,Software,10,PC,5
668,False,77,18648,Software,10,PC,5
669,False,78,18648,Software,10,PC,5
670,False,78,884,Software,10,PC,5
671,False,78,468,Software,10,PC,5
672,False,78,468,Software,10,PC,5
673,False,78,1747,Software,10,PC,5
674,False,77,1747,Software,10,PC,5
675,False,78,2663,Software,10,PC,5
676,True,78,468,Software,10,PC,5
677,False,77,8575,Software,10,PC,5
678,False,78,8575,Software,10,PC,5
679,False,78,468,Software,10,PC,5
680,True,78,468,Software,10,PC,5
681,False,78,468,Software,10,PC,5
682,False,78,2337,Software,10,PC,5
683,False,77,2337,Software,10,PC,5
684,True,78,2337,Software,10,PC,5
685,False,77,77,Software,10,PC,5
686,True,73,1458,Software,10,PC,5
687,True,73,1342,Software,10,PC,5
688,True,78,1158,Software,10,PC,5
689,False,78,468,Software,10,PC,5
690,False,77,744,Software,10,PC,5
691,False,78,386,Software,10,PC,5
692,False,78,959,Software,10,PC,5
693,False,78,959,Software,10,PC,5
694,False,78,884,Software,10,PC,5
695,False,77,2280,Software,10,PC,5
696,False,77,2280,Software,10,PC,5
697,False,77,2280,Software,10,PC,5
698,False,78,1158,Software,10,PC,5
699,False,77,1728,Software,10,PC,5
700,False,77,1728,Software,10,PC,5
701,True,77,1728,Software,10,PC,5
702,False,77,1807,Software,10,PC,5
703,False,77,884,Software,10,PC,5
704,False,78,1294,Software,10,PC,5
705,False,77,1227,Software,10,PC,5
706,False,77,33262,Software,10,PC,5
707,False,78,33262,Software,10,PC,5
708,False,77,884,Software,10,PC,5
709,False,78,959,Software,10,PC,5
710,False,77,11448,Software,10,PC,5
711,False,78,11448,Software,10,PC,5
712,False,77,744,Software,10,PC,5
713,False,78,951,Software,10,PC,5
714,False,78,959,Software,10,PC,5
715,False,77,1336,Software,10,PC,5
716,False,77,744,Software,10,PC,5
717,False,77,14887,Software,10,PC,5
718,False,78,14887,Software,10,PC,5
719,True,77,2362,Software,10,PC,5
720,False,77,1698,Software,10,PC,5
721,False,78,2280,Software,10,PC,5
722,False,78,2280,Software,10,PC,5
723,False,78,2280,Software,10,PC,5
724,False,78,435,Software,10,PC,5
725,False,78,435,Software,10,PC,5
726,False,78,435,Software,10,PC,5
727,False,78,435,Software,10,PC,5
728,False,78,435,Software,10,PC,5
729,False,77,435,Software,10,PC,5
730,False,77,6062,Software,10,PC,5
731,False,78,6062,Software,10,PC,5
732,False,77,1227,Software,10,PC,5
733,False,78,1728,Software,10,PC,5
734,False,77,4770,Software,10,PC,5
735,False,78,959,Software,10,PC,5
736,False,77,2573,Software,10,PC,5
737,False,77,855,Software,10,PC,5
738,False,77,1227,Software,10,PC,5
739,False,77,3168,Software,10,PC,5
740,False,77,1227,Software,10,PC,5
741,False,77,11571,Software,10,PC,5
742,False,78,11571,Software,10,PC,5
