shop_name,shop_city_population,en_shop_name,shop_id,shop_city,shop_category,shop_federal_district,shop_tested,,Sales Characteristics:,,,,New Years is around day 365 and day 730 --> frequently spike in sales
Жуковский ул. Чкалова 39м²,105000,Zhukovsky Street. Chkalov 39m²,11,Zhukovsky,Shop,Central,FALSE,,slice just before day 800 fits exactly with hole in #10 --> merge 11 into 10,,,,
Интернет-магазин ЧС,20000000,Shop Online Emergencies,12,None,Online,None,TRUE,,"spike at 365, but not 730; moderate sales in between perhaps 7 spikes over 500 units",,,,
"Казань ТЦ ""Бехетле""",1104738,"Kazan shopping center ""Bahetle""",13,Kazan,Mall,Volga,FALSE,,sales around 30/day; slight negative slope; sales end at around day 580� then zero; not much definition of sales increase at 365,,,,
"Казань ТЦ ""ПаркХаус"" II",1104738,"Kazan shopping mall of ""Parkhouse"" II of",14,Kazan,Mall,Volga,TRUE,,sales around 250/day; dropout slice around 250; spiky sales without much emphasis on new years; noticeable negative slope,,,,
"Калуга ТРЦ ""XXI век""",338978,"Kaluga SEC ""XXI Century""",15,Kaluga,SEC,Central,TRUE,,sales around 60/day; huge spike at 365 (above 500); minor surge at 730; definite negative slope,,,,
"Коломна ТЦ ""Рио""",147690,"Kolomna shopping center ""Rio""",16,Kolomna,Mall,Central,TRUE,,"very noisy sales, around 50/day; definite surge around 365 and 730; significant negative slope",,,,
"Красноярск ТЦ ""Взлетка Плаза""",927200,"Krasnoyarsk TC ""Vzletka Plaza""",17,Krasnoyarsk,Mall,Siberian,FALSE,,"sales only from days 160 to 750 approx. ; near 40/day; big spike at 365, lesser spike at 730; possible negative slope, but not easy to tell",,,,
"Красноярск ТЦ ""Июнь""",927200,"Krasnoyarsk SC ""June""",18,Krasnoyarsk,Mall,Siberian,TRUE,,"sales around 50/day; spiky behavior with significant background sales; dropout around 220-230; surge near 365; smaller one at 730, but other spikes even bigger",,,,
"Курск ТЦ ""Пушкинский""",409431,"Kursk TC ""Pushkin""",19,Kursk,Mall,Central,TRUE,,sales around 75/day; dominant surges at 365 and 730; definite negative slope,,,,
"Москва ""Распродажа""",20000000,"Moscow ""Sale""",20,None,Online,None,FALSE,,very little or no sales except for spikes at 650 and 1000 (both around 1000 units),,,,
"Москва МТРЦ ""Афи Молл""",10381222,"Moscow MTRTS ""Afi Mall""",21,Moscow,Mall,Central,TRUE,,,,,,
Москва Магазин С21,10381222,Moscow C21 Store,22,Moscow,Shop,Central,TRUE,,,,,,
"Москва ТК ""Буденовский"" (пав.А2)",10381222,"Moscow TK ""Budenovsky"" (pav.A2)",23,Moscow,Mall,Central,FALSE,,,,,,
"Москва ТК ""Буденовский"" (пав.К7)",10381222,"Moscow TK ""Budenovsky"" (pav.K7)",24,Moscow,Mall,Central,TRUE,,,,,,
"Москва ТРК ""Атриум""",10381222,"Moscow SEC ""Atrium""",25,Moscow,SEC,Central,TRUE,,,,,,
"Москва ТЦ ""Ареал"" (Беляево)",10381222,"Moscow shopping mall ""area"" (Belyaevo)",26,Moscow,Mall,Central,TRUE,,,,,,
"Москва ТЦ ""МЕГА Белая Дача II""",10381222,"Moscow shopping center ""MEGA Belaya Dacha II""",27,Moscow,Mega,Central,FALSE,,,,,,
"Москва ТЦ ""МЕГА Теплый Стан"" II",10381222,"Moscow shopping center ""MEGA Teply Stan"" II of",28,Moscow,Mega,Central,TRUE,,,,,,
"Москва ТЦ ""Новый век"" (Новокосино)",10381222,"Moscow shopping center ""New Age"" (Novokosino)",29,Moscow,Mall,Central,FALSE,,,,,,
"Москва ТЦ ""Перловский""",160542,"Moscow shopping center ""Perlovskiy""",30,Mytishchi,SEC,Central,FALSE,,,,,,
"Москва ТЦ ""Семеновский""",10381222,"Moscow shopping center ""Semyonov""",31,Moscow,SEC,Central,TRUE,,,,,,
"Москва ТЦ ""Серебряный Дом""",10381222,"Moscow shopping center ""Silver House""",32,Moscow,SEC,Central,FALSE,,,,,,
"Мытищи ТРК ""XL-3""",160542,"Mytishchi TRK ""XL-3""",33,Mytishchi,SEC,Central,FALSE,,,,,,
"Н.Новгород ТРЦ ""РИО""",1284164,"Nizhny Novgorod SEC ""RIO""",34,Nizhny Novgorod,SEC,Volga,TRUE,,,,,,
"Н.Новгород ТРЦ ""Фантастика""",1284164,"Nizhny Novgorod SEC ""Fantasy""",35,Nizhny Novgorod,SEC,Volga,TRUE,,,,,,
"Новосибирск ТРЦ ""Галерея Новосибирск""",1419007,"Novosibirsk SEC ""Gallery Novosibirsk""",36,Novosibirsk,SEC,Siberian,TRUE,,,,,,
"Новосибирск ТЦ ""Мега""",1419007,"Novosibirsk shopping center ""Mega""",37,Novosibirsk,Mega,Siberian,TRUE,,,,,,
"Омск ТЦ ""Мега""",1129281,"Omsk TC ""Mega""",38,Omsk,Mega,Siberian,TRUE,,,,,,
"РостовНаДону ТРК ""Мегацентр Горизонт""",1074482,"RostovNaDonu TRC ""Megacenter Horizon""",39,Rostov-on-Don,SEC,South,TRUE,,,,,,
"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной",20000000,"RostovNaDonu TRC ""Megacenter Horizon"" Island",40,None,Online,None,FALSE,,,,,,
"РостовНаДону ТЦ ""Мега""",1074482,"RostovNaDonu TC ""Mega""",41,Rostov-on-Don,Mega,South,TRUE,,,,,,
"СПб ТК ""Невский Центр""",5028000,"St. Petersburg TK ""Nevsky Center""",42,St. Petersburg,Mall,Northwestern,TRUE,,,,,,
"СПб ТК ""Сенная""",5028000,"St. Petersburg TK ""Sennaya""",43,St. Petersburg,SEC,Northwestern,FALSE,,,,,,
"Самара ТЦ ""Мелодия""",1134730,"Samara mall ""Melody""",44,Samara,Mall,Volga,TRUE,,,,,,
"Самара ТЦ ""ПаркХаус""",1134730,"Samara mall of ""Parkhouse""",45,Samara,Mall,Volga,TRUE,,,,,,
"Сергиев Посад ТЦ ""7Я""",109252,"Sergiev Posad TC ""7Ya""",46,Sergiyev Posad,SEC,Central,TRUE,,,,,,
"Сургут ТРЦ ""Сити Молл""",300367,"Surgut SEC ""City Mall""",47,Surgut,SEC,Ural,TRUE,,,,,,
"Томск ТРЦ ""Изумрудный Город""",485519,"Tomsk SEC ""Emerald City""",48,Tomsk,SEC,Siberian,TRUE,,,,,,
"Тюмень ТРЦ ""Кристалл""",519119,"Tyumen SEC ""Crystal""",49,Tyumen,SEC,Ural,TRUE,,,,,,
"Тюмень ТЦ ""Гудвин""",519119,"Tyumen SC ""Goodwin""",50,Tyumen,Mall,Ural,TRUE,,,,,,
"Тюмень ТЦ ""Зеленый Берег""",519119,"Tyumen SC ""Green Coast""",51,Tyumen,Mall,Ural,FALSE,,,,,,
"Уфа ТК ""Центральный""",1033338,"Ufa TC ""Central""",52,Ufa,Mall,Volga,TRUE,,,,,,
"Уфа ТЦ ""Семья"" 2",1033338,"Ufa TC ""Family"" 2",53,Ufa,Mall,Volga,TRUE,,,,,,
"Химки ТЦ ""Мега""",239967,"Khimki shopping center ""Mega""",54,Khimki,Mega,Central,FALSE,,,,,,
Цифровой склад 1С-Онлайн,20000000,Digital storage 1C-line,55,None,Online,None,TRUE,,,,,,
"Чехов ТРЦ ""Карнавал""",61000,"Czechs SEC ""Carnival""",56,Chekhov,SEC,Central,TRUE,,,,,,
"Якутск Орджоникидзе, 56",235600,"Yakutsk Ordzhonikidze, 56",57,Yakutsk,Shop,Eastern,TRUE,,,,,,
"Якутск ТЦ ""Центральный""",235600,"Yakutsk TC ""Central""",58,Yakutsk,Mall,Eastern,TRUE,,,,,,
"Ярославль ТЦ ""Альтаир""",606730,"Yaroslavl shopping center ""Altair""",59,Yaroslavl,SEC,Central,TRUE,,,,,,
