shop_name,shop_id,shop_group,shop_federal_district,shop_federal_district_enc,shop_tested,en_shop_name,shop_city_population,shop_type,shop_type_enc,shop_city,shop_city_enc,s_type_broad,s_type_broad_enc,fd_popdens,fd_popdens_enc,fd_gdp,fd_gdp_enc
"Москва ТЦ ""Семеновский""",31,M,Central,56,TRUE,"Moscow shopping center ""Semyonov""",10381222,SEC,40,Moscow,56,Mall,60,Populous,57,Intermediate,43
"Москва ТЦ ""Серебряный Дом""",32,E,Central,56,FALSE,"Moscow shopping center ""Silver House""",10381222,SEC,40,Moscow,56,Mall,60,Populous,57,Intermediate,43
"Мытищи ТРК ""XL-3""",33,F,Central,56,FALSE,"Mytishchi TRK ""XL-3""",160542,SEC,40,Mytishchi,0,Mall,60,Populous,57,Intermediate,43
"Н.Новгород ТРЦ ""РИО""",34,V,Volga,48,TRUE,"Nizhny Novgorod SEC ""RIO""",1284164,SEC,40,Nizhny Novgorod,42,Mall,60,Intermediate,31,Low,25
"Н.Новгород ТРЦ ""Фантастика""",35,V,Volga,48,TRUE,"Nizhny Novgorod SEC ""Fantasy""",1284164,SEC,40,Nizhny Novgorod,42,Mall,60,Intermediate,31,Low,25
"Новосибирск ТРЦ ""Галерея Новосибирск""",36,I,Siberian,40,TRUE,"Novosibirsk SEC ""Gallery Novosibirsk""",1419007,SEC,40,Novosibirsk,38,Mall,60,Remote,5,Low,25
"Новосибирск ТЦ ""Мега""",37,I,Siberian,40,TRUE,"Novosibirsk shopping center ""Mega""",1419007,Mega,30,Novosibirsk,38,Mall,60,Remote,5,Low,25
"Омск ТЦ ""Мега""",38,I,Siberian,40,TRUE,"Omsk TC ""Mega""",1129281,Mega,30,Omsk,18,Mall,60,Remote,5,Low,25
"РостовНаДону ТРК ""Мегацентр Горизонт""",39,S,South,32,TRUE,"RostovNaDonu TRC ""Megacenter Horizon""",1074482,SEC,40,Rostov-on-Don,40,Mall,60,Intermediate,31,Low,25
"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной",40,F,None,0,FALSE,"RostovNaDonu TRC ""Megacenter Horizon"" Island",20000000,Online,10,None,50,Online,35,Online,25,High,60
"РостовНаДону ТЦ ""Мега""",41,S,South,32,TRUE,"RostovNaDonu TC ""Mega""",1074482,Mega,30,Rostov-on-Don,40,Mall,60,Intermediate,31,Low,25
"СПб ТК ""Невский Центр""",42,B,Northwestern,8,TRUE,"St. Petersburg TK ""Nevsky Center""",5028000,Mall,50,St. Petersburg,36,Mall,60,Remote,5,Intermediate,43
"СПб ТК ""Сенная""",43,F,Northwestern,8,FALSE,"St. Petersburg TK ""Sennaya""",5028000,SEC,40,St. Petersburg,36,Mall,60,Remote,5,Intermediate,43
"Самара ТЦ ""Мелодия""",44,V,Volga,48,TRUE,"Samara mall ""Melody""",1134730,Mall,50,Samara,44,Mall,60,Intermediate,31,Low,25
"Самара ТЦ ""ПаркХаус""",45,V,Volga,48,TRUE,"Samara mall of ""Parkhouse""",1134730,Mall,50,Samara,44,Mall,60,Intermediate,31,Low,25
"Сергиев Посад ТЦ ""7Я""",46,M,Central,56,TRUE,"Sergiev Posad TC ""7Ya""",109252,SEC,40,Sergiyev Posad,32,Mall,60,Populous,57,Intermediate,43
"Сургут ТРЦ ""Сити Молл""",47,U,Ural,24,TRUE,"Surgut SEC ""City Mall""",300367,SEC,40,Surgut,24,Mall,60,Remote,5,High,60
"Томск ТРЦ ""Изумрудный Город""",48,I,Siberian,40,TRUE,"Tomsk SEC ""Emerald City""",485519,SEC,40,Tomsk,4,Mall,60,Remote,5,Low,25
"Тюмень ТРЦ ""Кристалл""",49,U,Ural,24,TRUE,"Tyumen SEC ""Crystal""",519119,SEC,40,Tyumen,48,Mall,60,Remote,5,High,60
"Тюмень ТЦ ""Гудвин""",50,C,Ural,24,TRUE,"Tyumen SC ""Goodwin""",519119,Mall,50,Tyumen,48,Mall,60,Remote,5,High,60
"Тюмень ТЦ ""Зеленый Берег""",51,C,Ural,24,FALSE,"Tyumen SC ""Green Coast""",519119,Mall,50,Tyumen,48,Mall,60,Remote,5,High,60
"Уфа ТК ""Центральный""",52,V,Volga,48,TRUE,"Ufa TC ""Central""",1033338,Mall,50,Ufa,46,Mall,60,Intermediate,31,Low,25
"Уфа ТЦ ""Семья"" 2",53,V,Volga,48,TRUE,"Ufa TC ""Family"" 2",1033338,Mall,50,Ufa,46,Mall,60,Intermediate,31,Low,25
"Химки ТЦ ""Мега""",54,F,Central,56,FALSE,"Khimki shopping center ""Mega""",239967,Mega,30,Khimki,2,Mall,60,Populous,57,Intermediate,43
Цифровой склад 1С-Онлайн,55,Z,None,0,TRUE,Digital storage 1C-line,20000000,Online,10,None,50,Online,35,Online,25,High,60
"Чехов ТРЦ ""Карнавал""",56,M,Central,56,TRUE,"Czechs SEC ""Carnival""",61000,SEC,40,Chekhov,30,Mall,60,Populous,57,Intermediate,43
"Якутск Орджоникидзе, 56",57,A,Eastern,16,TRUE,"Yakutsk Ordzhonikidze, 56",235600,Shop,20,Yakutsk,54,Shop,10,Remote,5,Intermediate,43
"Якутск ТЦ ""Центральный""",58,A,Eastern,16,TRUE,"Yakutsk TC ""Central""",235600,Mall,50,Yakutsk,54,Mall,60,Remote,5,Intermediate,43
"Ярославль ТЦ ""Альтаир""",59,M,Central,56,TRUE,"Yaroslavl shopping center ""Altair""",606730,SEC,40,Yaroslavl,16,Mall,60,Populous,57,Intermediate,43
