item_id,i_cat_id,item_name,i_tested,clean_item_name,delim_name_list,d_len,d_maxgram
31,37,"007: COORDINATES ""SKAYFOLL» (BD)",True,007 coordinates skayfoll bd,"['007', 'coordinates', 'skayfoll', 'bd']",4,1
32,40,1 + 1,True,1 1,['1 1'],1,2
33,37,1 + 1 (BD),True,1 1 bd,"['1 1', 'bd']",2,2
34,40,"10,000 BC WB (region)",False,10000 bc wb region,"['10000 bc wb', 'region']",2,3
35,40,10 YEARS LATER,False,10 years later,['10 years later'],1,3
36,37,10 YEARS (BD),False,10 years bd,"['10 years', 'bd']",2,2
37,40,10 YEARS LATER (region),False,10 years later region,"['10 years later', 'region']",2,3
38,41,10 most popular comedy twentieth century 10DVD (rem),True,10 most popular comedy twentieth century 10dvd rem,"['10 most popular comedy twentieth century 10dvd', 'rem']",2,7
39,41,10 most popular domestic comedy twentieth century (BD),False,10 most popular domestic comedy twentieth century bd,"['10 most popular domestic comedy twentieth century', 'bd']",2,7
40,57,100 Best classical melodies (mp3-CD) (Digipack),False,100 best classical melodies mp3cd digipack,"['100 best classical melodies', 'mp3cd', 'digipack']",3,4
41,57,100 Best relax melodies (mp3-CD) (CD-Digipack),False,100 best relax melodies mp3cd cddigipack,"['100 best relax melodies', 'mp3cd', 'cddigipack']",3,4
42,57,100 Best romantic melodies (mp3-CD) (Digipack),True,100 best romantic melodies mp3cd digipack,"['100 best romantic melodies', 'mp3cd', 'digipack']",3,4
43,40,EUR 100 million,False,eur 100 million,['eur 100 million'],1,3
44,57,100 best melodies against stress (mp3-CD) (CD-Digipack),False,100 best melodies against stress mp3cd cddigipack,"['100 best melodies against stress', 'mp3cd', 'cddigipack']",3,5
45,57,100 of the best folk songs (mp3-CD) (CD-Digipack),True,100 of the best folk songs mp3cd cddigipack,"['100 of the best folk songs', 'mp3cd', 'cddigipack']",3,6
46,57,100 of the best works by Bach (mp3-CD) (Digipack),False,100 of the best works by bach mp3cd digipack,"['100 of the best works by bach', 'mp3cd', 'digipack']",3,7
47,57,100 of the best works by Beethoven (mp3-CD) (Digipack),False,100 of the best works by beethoven mp3cd digipack,"['100 of the best works by beethoven', 'mp3cd', 'digipack']",3,7
48,57,100 of the best works by Vivaldi (mp3-CD) (CD-Digipack),False,100 of the best works by vivaldi mp3cd cddigipack,"['100 of the best works by vivaldi', 'mp3cd', 'cddigipack']",3,7
49,57,100 best works of Mozart (mp3-CD) (Digipack),False,100 best works of mozart mp3cd digipack,"['100 best works of mozart', 'mp3cd', 'digipack']",3,5
50,57,100 best works of Rachmaninoff (mp3-CD) (Jewel),False,100 best works of rachmaninoff mp3cd jewel,"['100 best works of rachmaninoff', 'mp3cd', 'jewel']",3,5
51,57,100 best classical works (mp3-CD) (Digipack),True,100 best classical works mp3cd digipack,"['100 best classical works', 'mp3cd', 'digipack']",3,4
52,57,100 of the best works of piano music (mp3-CD) (CD-Digipack),False,100 of the best works of piano music mp3cd cddigipack,"['100 of the best works of piano music', 'mp3cd', 'cddigipack']",3,8
53,57,100 best Russian songs (mp3-CD) (CD-Digipack),True,100 best russian songs mp3cd cddigipack,"['100 best russian songs', 'mp3cd', 'cddigipack']",3,4
54,57,100 best Gypsy (mp3-CD) (CD-Digipack),False,100 best gypsy mp3cd cddigipack,"['100 best gypsy', 'mp3cd', 'cddigipack']",3,3
55,43,100 favorite little tales (mp3-CD) (Jewel),False,100 favorite little tales mp3cd jewel,"['100 favorite little tales', 'mp3cd', 'jewel']",3,4
56,57,100 favorite songs. Alexander Pakhmutova (Given. Y.) (Mp3-CD) (Jewel),False,100 favorite songs alexander pakhmutova given y mp3cd jewel,"['100 favorite songs alexander pakhmutova', 'given y', 'mp3cd', 'jewel']",4,5
57,57,100 pounds of multhitov (Given. Y.) (Mp3-CD) (Jewel),True,100 pounds of multhitov given y mp3cd jewel,"['100 pounds of multhitov', 'given y', 'mp3cd', 'jewel']",4,4
58,78,"100 Wonders of Russia [PC, Digital Version]",False,100 wonders of russia pc digital version,"['100 wonders of russia', 'pc digital version']",2,4
59,57,100 classic masterpieces (mp3-CD) (Digipack),True,100 classic masterpieces mp3cd digipack,"['100 classic masterpieces', 'mp3cd', 'digipack']",3,3
60,43,1000 English phrases for all occasions (mp3-CD) (Jewel),False,1000 english phrases for all occasions mp3cd jewel,"['1000 english phrases for all occasions', 'mp3cd', 'jewel']",3,6
61,43,1000 and one night 2CD (mp3-DVD) (DVD-Book),False,1000 and one night 2cd mp3dvd dvdbook,"['1000 and one night 2cd', 'mp3dvd', 'dvdbook']",3,5
62,37,"10,000 years BC WB (BD)",True,10000 years bc wb bd,"['10000 years bc wb', 'bd']",2,4
63,40,101 Dalmatians wd,False,101 dalmatians wd,['101 dalmatians wd'],1,3
64,40,Dalmatian 101 m 2 / f (region),True,dalmatian 101 m 2 f region,"['dalmatian 101 m 2', 'f', 'region']",3,4
65,37,101 Dalmatian 2: Adventure PATCH LONDON (BD),False,101 dalmatian 2 adventure patch london bd,"['101 dalmatian 2', 'adventure patch london', 'bd']",3,3
66,37,Dalmatian 101 M / F (BD),False,dalmatian 101 m f bd,"['dalmatian 101 m', 'f', 'bd']",3,3
67,40,Dalmatian 101 m / f (region),True,dalmatian 101 m f region,"['dalmatian 101 m', 'f', 'region']",3,3
68,30,"101 Dalmatians. Interactive Tale [PC-CD, Jewel]",False,101 dalmatians interactive tale pccd jewel,"['101 dalmatians interactive tale', 'pccd jewel']",2,4
69,54,"101 advice for novice developers in the system ""1C: Enterprise 8"" [Digital Version]",True,101 advice for novice developers in the system 1c enterprise 8 digital version,"['101 advice for novice developers in the system', '1c', 'enterprise 8', 'digital version']",4,8
70,49,"101 advice for novice developers in the system ""1C: Enterprise 8"". Khrustalev EY",True,101 advice for novice developers in the system 1c enterprise 8 khrustalev ey,"['101 advice for novice developers in the system', '1c', 'enterprise 8', 'khrustalev ey']",4,8
71,37,Ocean's 11 WB (BD),False,oceans 11 wb bd,"['oceans 11 wb', 'bd']",2,3
72,40,Ocean's 11 WB (region),True,oceans 11 wb region,"['oceans 11 wb', 'region']",2,3
73,40,11-11-11 (region),False,111111 region,"['111111', 'region']",2,1
74,37,12 Ocean's WB (BD),False,12 oceans wb bd,"['12 oceans wb', 'bd']",2,3
75,40,Ocean's 12 WB (region),False,oceans 12 wb region,"['oceans 12 wb', 'region']",2,3
76,37,12 Years a Slave (BD),True,12 years a slave bd,"['12 years a slave', 'bd']",2,4
77,40,12 Years a Slave (region),False,12 years a slave region,"['12 years a slave', 'region']",2,4
78,40,12 MONTHS,False,12 months,['12 months'],1,2
79,40,12 MONTHS. NEW STORY,False,12 months new story,['12 months new story'],1,4
80,37,12 rounds (BD),True,12 rounds bd,"['12 rounds', 'bd']",2,2
81,40,12 Christmas wish,False,12 christmas wish,['12 christmas wish'],1,3
82,37,12 / TWELVE (BD),False,12 twelve bd,"['12', 'twelve', 'bd']",3,1
83,40,12 / TWELVE (CP) (Area),True,12 twelve cp area,"['12', 'twelve', 'cp', 'area']",4,1
84,40,127 HOURS,False,127 hours,['127 hours'],1,2
85,37,127 HOURS (BD + DVD),False,127 hours bd dvd,"['127 hours', 'bd dvd']",2,2
86,40,127 HOURS (region),False,127 hours region,"['127 hours', 'region']",2,2
87,37,Ocean's 13 WB (BD),False,oceans 13 wb bd,"['oceans 13 wb', 'bd']",2,3
88,40,Ocean's 13 WB (region),True,oceans 13 wb region,"['oceans 13 wb', 'region']",2,3
89,40,THE 13TH WARRIOR wd,False,the 13th warrior wd,['the 13th warrior wd'],1,4
90,40,13TH DISTRICT: Brick Mansions,False,13th district brick mansions,"['13th district', 'brick mansions']",2,2
91,37,13TH DISTRICT: Brick mansions (BD),True,13th district brick mansions bd,"['13th district', 'brick mansions', 'bd']",3,2
92,37,13TH DISTRICT: ULTIMATUM (BD),False,13th district ultimatum bd,"['13th district', 'ultimatum', 'bd']",3,2
93,43,15 famous fairy tales Children from 0 to 3 years (mp3-CD) (Jewel),True,15 famous fairy tales children from 0 to 3 years mp3cd jewel,"['15 famous fairy tales children from 0 to 3 years', 'mp3cd', 'jewel']",3,10
94,40,16 Wishes,False,16 wishes,['16 wishes'],1,2
95,40,1812. Encyclopedia of the Great War,False,1812 encyclopedia of the great war,['1812 encyclopedia of the great war'],1,6
96,40,1812. ENCYCLOPEDIA OF WAR (region),False,1812 encyclopedia of war region,"['1812 encyclopedia of war', 'region']",2,4
97,40,1812: Series 4 (region),False,1812 series 4 region,"['1812', 'series 4', 'region']",3,2
98,40,1812: Lancers BALLAD,False,1812 lancers ballad,"['1812', 'lancers ballad']",2,2
99,37,1812: Ulanskii BALLADA (BD),False,1812 ulanskii ballada bd,"['1812', 'ulanskii ballada', 'bd']",3,2
100,40,1812: Lancers BALLAD (region),False,1812 lancers ballad region,"['1812', 'lancers ballad', 'region']",3,2
101,78,"1C: School. Physics, 9kl. [PC, Digital Version]",False,1c school physics 9kl pc digital version,"['1c', 'school physics 9kl', 'pc digital version']",3,3
102,76,"1C-Bitrix Site Manager - Small Business [PC, Digital Version]",False,1cbitrix site manager small business pc digital version,"['1cbitrix site manager small business', 'pc digital version']",2,5
103,76,"1C-Bitrix Site Manager - Standard [PC, Digital Version]",False,1cbitrix site manager standard pc digital version,"['1cbitrix site manager standard', 'pc digital version']",2,4
104,76,"1C-Bitrix Site Manager - Start (Bitrix) [PC, Digital Version]",False,1cbitrix site manager start bitrix pc digital version,"['1cbitrix site manager start', 'bitrix', 'pc digital version']",3,4
105,30,"1C: Snowball ORIGINALS ""Europa Universalis III In Nomine.""",False,1c snowball originals europa universalis iii in nomine,"['1c', 'snowball originals', 'europa universalis iii in nomine']",3,5
106,30,"1C: Snowball TOYS ""Day of Victory II new war.""",False,1c snowball toys day of victory ii new war,"['1c', 'snowball toys', 'day of victory ii new war']",3,6
107,44,1C: Audio. In harmony with nature. Music for a relaxing driving [Digital Version],False,1c audio in harmony with nature music for a relaxing driving digital version,"['1c', 'audio in harmony with nature music for a relaxing driving', 'digital version']",3,10
108,44,1C: Audio. In harmony with nature. Rest in the forest [Digital Version],False,1c audio in harmony with nature rest in the forest digital version,"['1c', 'audio in harmony with nature rest in the forest', 'digital version']",3,9
109,57,1C: Audio. Music rebalancing of body and soul (Jewel),True,1c audio music rebalancing of body and soul jewel,"['1c', 'audio music rebalancing of body and soul', 'jewel']",3,7
110,44,1C: Audio. Music rebalance body and soul [Digital Version],False,1c audio music rebalance body and soul digital version,"['1c', 'audio music rebalance body and soul', 'digital version']",3,6
111,57,1C: Audio. Music for healing the body (Jewel),False,1c audio music for healing the body jewel,"['1c', 'audio music for healing the body', 'jewel']",3,6
112,44,1C: Audio. Music for relaxation and massage [Digital Version],False,1c audio music for relaxation and massage digital version,"['1c', 'audio music for relaxation and massage', 'digital version']",3,6
113,57,1C: Audio. Music for stress (Jewel),False,1c audio music for stress jewel,"['1c', 'audio music for stress', 'jewel']",3,4
114,44,1C: Audio. Music for stress [Digital Version],False,1c audio music for stress digital version,"['1c', 'audio music for stress', 'digital version']",3,4
115,57,1C: Audio. Music of Nature (Jewel),False,1c audio music of nature jewel,"['1c', 'audio music of nature', 'jewel']",3,4
116,57,1C: Audio. Music passion: increased tone (Jewel),False,1c audio music passion increased tone jewel,"['1c', 'audio music passion', 'increased tone', 'jewel']",4,3
117,44,1C: Audio. Music passion: increased tone [Digital Version],False,1c audio music passion increased tone digital version,"['1c', 'audio music passion', 'increased tone', 'digital version']",4,3
118,44,"1C: Audiobooks ""Alenushka tales"" [Digital Version]",False,1c audiobooks alenushka tales digital version,"['1c', 'audiobooks', 'alenushka tales', 'digital version']",4,2
119,44,"1C: Audiobooks ""Baba Yaga - the Gold leg"" [Digital Version]",False,1c audiobooks baba yaga the gold leg digital version,"['1c', 'audiobooks', 'baba yaga the gold leg', 'digital version']",4,5
120,44,"1C: Audiobooks ""The Lady with the Dog"" [Digital Version]",False,1c audiobooks the lady with the dog digital version,"['1c', 'audiobooks', 'the lady with the dog', 'digital version']",4,5
121,44,"1C: Audiobooks ""Cadet monastery"" [Digital Version]",False,1c audiobooks cadet monastery digital version,"['1c', 'audiobooks', 'cadet monastery', 'digital version']",4,2
122,44,"1C: Audiobooks ""Love"" [Digital Version]",False,1c audiobooks love digital version,"['1c', 'audiobooks', 'love', 'digital version']",4,2
123,44,"1C: Audiobooks ""Sevastopol Stories"" [Digital Version]",False,1c audiobooks sevastopol stories digital version,"['1c', 'audiobooks', 'sevastopol stories', 'digital version']",4,2
124,44,"1C: Audiobooks ""Gray Neck"" [Digital Version]",False,1c audiobooks gray neck digital version,"['1c', 'audiobooks', 'gray neck', 'digital version']",4,2
125,44,"1C: Audiobooks ""Tales of the World"" [Digital Version]",False,1c audiobooks tales of the world digital version,"['1c', 'audiobooks', 'tales of the world', 'digital version']",4,4
126,44,"1C: Audiobooks ""Tales Issue 1."" [Digital Version]",False,1c audiobooks tales issue 1 digital version,"['1c', 'audiobooks', 'tales issue 1', 'digital version']",4,3
127,44,"1C: Audiobooks ""Tales Issue 2."" [Digital Version]",False,1c audiobooks tales issue 2 digital version,"['1c', 'audiobooks', 'tales issue 2', 'digital version']",4,3
128,44,"1C: Audiobooks ""Tales Issue 3."" [Digital Version]",False,1c audiobooks tales issue 3 digital version,"['1c', 'audiobooks', 'tales issue 3', 'digital version']",4,3
129,44,"1C: Audiobooks ""Tales Issue 4."" [Digital Version]",False,1c audiobooks tales issue 4 digital version,"['1c', 'audiobooks', 'tales issue 4', 'digital version']",4,3
130,44,"1C: Audiobooks ""Tales Issue 5."" [Digital Version]",False,1c audiobooks tales issue 5 digital version,"['1c', 'audiobooks', 'tales issue 5', 'digital version']",4,3
131,44,"1C: Audiobooks ""Tales Issue 6."" [Digital Version]",False,1c audiobooks tales issue 6 digital version,"['1c', 'audiobooks', 'tales issue 6', 'digital version']",4,3
132,44,"1C: Audiobooks. ""Mystical stories by Russian writers,"" Pushkin, Dostoyevsky [Digital in",False,1c audiobooks mystical stories by russian writers pushkin dostoyevsky digital version,"['1c', 'audiobooks', 'mystical stories by russian writers', 'pushkin dostoyevsky', 'digital version']",5,5
133,45,1C: Audiobooks. 25 famous fairy tales,False,1c audiobooks 25 famous fairy tales,"['1c', 'audiobooks 25 famous fairy tales']",2,5
134,45,1C: Audiobooks. Around the World in 80 days (by Jules Verne) (Jewel),False,1c audiobooks around the world in 80 days by jules verne jewel,"['1c', 'audiobooks around the world in 80 days', 'by jules verne', 'jewel']",4,7
135,45,1C: Audiobooks. Classical Mosaic. English Stories. Part 1,False,1c audiobooks classical mosaic english stories part 1,"['1c', 'audiobooks classical mosaic english stories part 1']",2,7
136,45,1C: Audiobooks. Happy New English! (Best funny stories) (Digipack),False,1c audiobooks happy new english best funny stories digipack,"['1c', 'audiobooks happy new english', 'best funny stories', 'digipack']",4,4
137,44,"1C: Audiobooks. The Golden Age of Detective Fiction. Part 1 [PC, Digital Version]",False,1c audiobooks the golden age of detective fiction part 1 pc digital version,"['1c', 'audiobooks the golden age of detective fiction part 1', 'pc digital version']",3,9
138,45,1C: Audiobooks. Nekrasov. The Adventures of Captain Vrungel (Digipack),True,1c audiobooks nekrasov the adventures of captain vrungel digipack,"['1c', 'audiobooks nekrasov the adventures of captain vrungel', 'digipack']",3,7
139,45,1C: Audiobooks. AM Volkov. The Wizard of Oz (Digipack),False,1c audiobooks am volkov the wizard of oz digipack,"['1c', 'audiobooks am volkov the wizard of oz', 'digipack']",3,7
140,45,1C: Audiobooks. Aladdin and other oriental tales (Jewel),True,1c audiobooks aladdin and other oriental tales jewel,"['1c', 'audiobooks aladdin and other oriental tales', 'jewel']",3,6
141,44,"1C: Audiobooks. Aladdin and other oriental tales [PC, Digital Version]",False,1c audiobooks aladdin and other oriental tales pc digital version,"['1c', 'audiobooks aladdin and other oriental tales', 'pc digital version']",3,6
142,45,1C: Audiobooks. Alexei Tolstoy. The Adventures of Pinocchio (Digipack),False,1c audiobooks alexei tolstoy the adventures of pinocchio digipack,"['1c', 'audiobooks alexei tolstoy the adventures of pinocchio', 'digipack']",3,7
143,45,1C: Audiobooks. Scarlet flower and other tales (Jewel),False,1c audiobooks scarlet flower and other tales jewel,"['1c', 'audiobooks scarlet flower and other tales', 'jewel']",3,6
144,44,1C: Audiobooks. Scarlet Flower and Other Stories [Digital Version],False,1c audiobooks scarlet flower and other stories digital version,"['1c', 'audiobooks scarlet flower and other stories', 'digital version']",3,6
145,44,"1C: Audiobooks. Ali Baba [PC, Digital Version]",False,1c audiobooks ali baba pc digital version,"['1c', 'audiobooks ali baba', 'pc digital version']",3,3
146,44,"1C: Audiobooks. English irregular verbs. Simulator [PC, Digital Version]",False,1c audiobooks english irregular verbs simulator pc digital version,"['1c', 'audiobooks english irregular verbs simulator', 'pc digital version']",3,5
147,44,"1C: Audiobooks. English proverbs and set expressions. Self Help [PC, Digital Version]",False,1c audiobooks english proverbs and set expressions self help pc digital version,"['1c', 'audiobooks english proverbs and set expressions self help', 'pc digital version']",3,8
148,44,"1C: Audiobooks. English fairy tales, Part 1 [PC, Digital Version]",False,1c audiobooks english fairy tales part 1 pc digital version,"['1c', 'audiobooks english fairy tales part 1', 'pc digital version']",3,6
149,45,1C: Audiobooks. English for children. Listen and studied (Jewel),True,1c audiobooks english for children listen and studied jewel,"['1c', 'audiobooks english for children listen and studied', 'jewel']",3,7
150,44,1C: Audiobooks. English for children. Listen and learn [Digital Version],False,1c audiobooks english for children listen and learn digital version,"['1c', 'audiobooks english for children listen and learn', 'digital version']",3,7
151,45,1C: Audiobooks. English for kids. Visual aids (Jewel),False,1c audiobooks english for kids visual aids jewel,"['1c', 'audiobooks english for kids visual aids', 'jewel']",3,6
152,45,1C: Audiobooks. English for travelers (Jewel),False,1c audiobooks english for travelers jewel,"['1c', 'audiobooks english for travelers', 'jewel']",3,4
153,45,1C: Audiobooks. English for 30 minutes (Digipack),True,1c audiobooks english for 30 minutes digipack,"['1c', 'audiobooks english for 30 minutes', 'digipack']",3,5
154,45,1C: Audiobooks. English driving. Issue 1 (Beginner) (Digipack),True,1c audiobooks english driving issue 1 beginner digipack,"['1c', 'audiobooks english driving issue 1', 'beginner', 'digipack']",4,5
155,45,1C: Audiobooks. English driving. Issue 2 (Elementary) (Digipack),False,1c audiobooks english driving issue 2 elementary digipack,"['1c', 'audiobooks english driving issue 2', 'elementary', 'digipack']",4,5
156,45,1C: Audiobooks. English driving. Issue 3 (Pre-Intermediate) (Digipack),False,1c audiobooks english driving issue 3 preintermediate digipack,"['1c', 'audiobooks english driving issue 3', 'preintermediate', 'digipack']",4,5
157,44,"1C: Audiobooks. English vocabulary minimum. Simulator [PC, Digital Version]",False,1c audiobooks english vocabulary minimum simulator pc digital version,"['1c', 'audiobooks english vocabulary minimum simulator', 'pc digital version']",3,5
158,44,"1C: Audiobooks. English in 12 days: Tutorial for everyday communication [PC, Digital Version]",False,1c audiobooks english in 12 days tutorial for everyday communication pc digital version,"['1c', 'audiobooks english in 12 days', 'tutorial for everyday communication', 'pc digital version']",4,5
159,44,"1C: Audiobooks. English in 12 days: Teach. Business English [PC, Digital Version]",False,1c audiobooks english in 12 days teach business english pc digital version,"['1c', 'audiobooks english in 12 days', 'teach business english', 'pc digital version']",4,5
160,44,"1C: Audiobooks. English in 12 days: Teach. Holidays abroad [PC, Digital Version]",False,1c audiobooks english in 12 days teach holidays abroad pc digital version,"['1c', 'audiobooks english in 12 days', 'teach holidays abroad', 'pc digital version']",4,5
161,44,"1C: Audiobooks. English. 1700 common phrases and expressions. Simulator [PC, Digital Version]",False,1c audiobooks english 1700 common phrases and expressions simulator pc digital version,"['1c', 'audiobooks english 1700 common phrases and expressions simulator', 'pc digital version']",3,8
162,45,1C: Audiobooks. HC Andersen Thumbelina,False,1c audiobooks hc andersen thumbelina,"['1c', 'audiobooks hc andersen thumbelina']",2,4
163,44,"1C: Audiobooks. Andrei Platonov. Dragon jaw. Stories about voyne12 [PC, Digital Version]",False,1c audiobooks andrei platonov dragon jaw stories about voyne12 pc digital version,"['1c', 'audiobooks andrei platonov dragon jaw stories about voyne12', 'pc digital version']",3,8
164,44,1C: Audiobooks. Arkady Averchenko. Classic Russian humor. [Digital Version],False,1c audiobooks arkady averchenko classic russian humor digital version,"['1c', 'audiobooks arkady averchenko classic russian humor', 'digital version']",3,6
165,45,1C: Audiobooks. Arthur Conan Doyle. Valley of Fear (Jewel),False,1c audiobooks arthur conan doyle valley of fear jewel,"['1c', 'audiobooks arthur conan doyle valley of fear', 'jewel']",3,7
166,45,1C: Audiobooks. Arthur Conan Doyle. Stories of Sherlock Holmes (Jewel),True,1c audiobooks arthur conan doyle stories of sherlock holmes jewel,"['1c', 'audiobooks arthur conan doyle stories of sherlock holmes', 'jewel']",3,8
167,44,"1C: Audiobooks. Atkinson William The power of thought, or the magnetism of personality [PC, Digital Version]",False,1c audiobooks atkinson william the power of thought or the magnetism of personality pc digital version,"['1c', 'audiobooks atkinson william the power of thought or the magnetism of personality', 'pc digital version']",3,12
168,44,"1C: Audiobooks. Audio courses on geography. Grade 6 [PC, Digital Version]",True,1c audiobooks audio courses on geography grade 6 pc digital version,"['1c', 'audiobooks audio courses on geography grade 6', 'pc digital version']",3,7
169,44,"1C: Audiobooks. Audio courses on geography. Grade 7 [PC, Digital Version]",False,1c audiobooks audio courses on geography grade 7 pc digital version,"['1c', 'audiobooks audio courses on geography grade 7', 'pc digital version']",3,7
170,45,1C: Audiobooks. Audiocourses. Learn how to correctly and competently speak in Russian (Jewel),False,1c audiobooks audiocourses learn how to correctly and competently speak in russian jewel,"['1c', 'audiobooks audiocourses learn how to correctly and competently speak in russian', 'jewel']",3,11
171,45,1C: Audiobooks. Audioguide. the Moscow Kremlin,False,1c audiobooks audioguide the moscow kremlin,"['1c', 'audiobooks audioguide the moscow kremlin']",2,5
172,45,1C: Audiobooks. Audioguide. Nevsky Avenue,False,1c audiobooks audioguide nevsky avenue,"['1c', 'audiobooks audioguide nevsky avenue']",2,4
173,45,1C: Audiobooks. Audioentsiklopediya for the little ones. The world around us (Digipack),True,1c audiobooks audioentsiklopediya for the little ones the world around us digipack,"['1c', 'audiobooks audioentsiklopediya for the little ones the world around us', 'digipack']",3,10
174,44,"1C: Audiobooks. Bible stories of the New Testament. Life of Jesus Christ [PC, Digital Version]",False,1c audiobooks bible stories of the new testament life of jesus christ pc digital version,"['1c', 'audiobooks bible stories of the new testament life of jesus christ', 'pc digital version']",3,11
175,45,1C: Audiobooks. Most poetry for young children (collection) (Jewel),False,1c audiobooks most poetry for young children collection jewel,"['1c', 'audiobooks most poetry for young children', 'collection', 'jewel']",4,6
176,45,1C: Audiobooks. Bulgakov Heart of a Dog,False,1c audiobooks bulgakov heart of a dog,"['1c', 'audiobooks bulgakov heart of a dog']",2,6
177,45,1C: Audiobooks. Bulgakov MA The Master and Margarita,False,1c audiobooks bulgakov ma the master and margarita,"['1c', 'audiobooks bulgakov ma the master and margarita']",2,7
178,45,1C: Audiobooks. Bulgakov MA khan's fire,False,1c audiobooks bulgakov ma khans fire,"['1c', 'audiobooks bulgakov ma khans fire']",2,5
179,45,1C: Audiobooks. Bunin IA Sins of Love,False,1c audiobooks bunin ia sins of love,"['1c', 'audiobooks bunin ia sins of love']",2,6
180,44,"1C: Audiobooks. Epics of the Russian people. Collection [PC, Digital Version]",True,1c audiobooks epics of the russian people collection pc digital version,"['1c', 'audiobooks epics of the russian people collection', 'pc digital version']",3,7
181,44,"1C: Audiobooks. Vagin Anger, resentment, revenge and betrayal [PC, Digital Version]",False,1c audiobooks vagin anger resentment revenge and betrayal pc digital version,"['1c', 'audiobooks vagin anger resentment revenge and betrayal', 'pc digital version']",3,7
182,44,"1C: Audiobooks. Vagin How to develop self-confidence and raise self-esteem [PC, Digital Version]",False,1c audiobooks vagin how to develop selfconfidence and raise selfesteem pc digital version,"['1c', 'audiobooks vagin how to develop selfconfidence and raise selfesteem', 'pc digital version']",3,9
183,44,"1C: Audiobooks. Vagin IO Drive Management [PC, Digital Version]",False,1c audiobooks vagin io drive management pc digital version,"['1c', 'audiobooks vagin io drive management', 'pc digital version']",3,5
184,44,"1C: Audiobooks. Vagin IO Freedom from fear and anxiety [PC, Digital Version]",False,1c audiobooks vagin io freedom from fear and anxiety pc digital version,"['1c', 'audiobooks vagin io freedom from fear and anxiety', 'pc digital version']",3,8
